Racquet Name,Tension,Length,Pattern,Skip M Holes,Tie Off M,Start C,Tie Off C,Manufacturer,Pattern Type
8810,25 - 29,31' - 9'S,14M X 18C,"7T - 5,7,9,10B",8B,5B,5T,Black Knight,Squash
BANDIT (5240),25 - 29,34' - 9'S,14M X 19C,"7T - 5,7,9,10B",3B,5B,5T,Black Knight,Squash
BULLY (3310),23 - 27,33' - 9'S,14M X 17C,"7T - 6,8B",5T,7T,5B,Black Knight,Squash
C2C 125G,25 - 29,36' - 10'S,14M X 19C,"7T - 5,7,9,10B",6B,5B,6T,Black Knight,Squash
C2C 135G,25 - 29,36' - 10'S,14M X 19C,"7T - 5,7,9,10B",6B,5B,6T,Black Knight,Squash
C2C nXS,25 - 29,36' - 10'S,14M X 19C,"7T - 5,7,9,10B",6B,5B,6T,Black Knight,Squash
FUSION ACE (3430),23 - 27,34' - 9'S,14M X 19C,"6,8B",6B,7B,4T,Black Knight,Squash
FUSION PRO (3830),23 - 27,34' - 9'S,14M X 20C,"7T - 5,7,9B",6B,5B,5T,Black Knight,Squash
GRAPH POWER (4440),25 - 29,34' - 9'S,14M X 19C,"7T - 5,7,9B",8B,5B,5T,Black Knight,Squash
GRAPHITE PRECISION (4830),25 - 29,34' - 9'S,16M X 20C,"8T - 5,7,9,11,12B",6T,8T,3B,Black Knight,Squash
ION CANNON,25 - 29,35' - 9'S,14M X 18C,"7T - 5,7,9,10B",6B,5B,5T,Black Knight,Squash
ION DRIVE,25 - 29,31' - 9'S,14M X 18C,"7T - 6,8B",5T,7T,4B,Black Knight,Squash
ION GALAXY,25 - 29,32' - 9'S,16M X 19C,"8T - 7,9B",6B,7B,5T,Black Knight,Squash
ION STORM,25 - 29,31' - 9'S,14M X 18C,"7T - 6,8B",5T,7T,4B,Black Knight,Squash
ION X-FORCE,25 - 29,31' - 9'S,14M X 16C,"7T - 6,8B",5T,7T,7B,Black Knight,Squash
JUNIOR (3220),22 - 26,34' - 9'S,14M X 18C,"7T - 6,8,9B",5B,6B,6T,Black Knight,Squash
MAGNUM 130/140,25 - 29,36' - 10'S,14M X 19C,"7T - 5,7,9,10B",6B,5B,6T,Black Knight,Squash
MAGNUM CORONA 6,25 - 29,31' - 9'S,14M X 16C,"7T - 6,8B",5T,7T,7B,Black Knight,Squash
MAGNUM FROST,25 - 29,31' - 9'S,14M X 18C,"7T - 6,8B",5T,7T,4B,Black Knight,Squash
MAGNUM LAVA,25 - 29,31' - 9'S,14M X 18C,"7T - 6,8B",5T,7T,4B,Black Knight,Squash
MAGNUM PRO nXS,22 - 26,30' - 9'S,14M X 18C,"7T - 6,8,9B",5B,6B,6T,Black Knight,Squash
MAGNUM TOUR 6,25 - 29,32' - 9'S,16M X 19C,"8T - 7,9B",5B,7B,5T,Black Knight,Squash
OMEGA,25 - 29,31' - 9'S,14M X 18C,"7T - 6,8B",5T,7T,7B,Black Knight,Squash
OUTLAW (5340),25 - 29,34' - 9'S,14M X 18C,"6,8T - 7B",5B,7B,4T,Black Knight,Squash
PATRIOT (9120 Ti),25 - 29,31' - 9'S,14M X 18C,"7T - 5,7,9,10B",8B,5B,5T,Black Knight,Squash
PRO LITE (9110),25 - 29,34' - 9'S,14M X 18C,"7T - 5,7,9,10B",8B,5B,5T,Black Knight,Squash
QUARTZ CXX (2120 QC),25 - 29,34' - 9'S,14M X 19C,"6,8T - 7B",4B,7B,5T,Black Knight,Squash
QUICKSILVER,25 - 29,36' - 10'S,14M X 19C,"6,8T - 7B",4B,7B,5T,Black Knight,Squash
REBEL,25 - 29,36' - 10'S,14M X 19C,"7T - 5,7,9,10B",3B,5B,5T,Black Knight,Squash
REBEL (5140),25 - 29,34' - 9'S,14M X 19C,"7T - 5,7,9,10B",3B,5B,5T,Black Knight,Squash
RENEGADE (5730),25 - 29,34' - 9'S,14M X 19C,7T - 7B,3B,7B,5T,Black Knight,Squash
SMASH (3120),22 - 26,31' - 9'S,14M X 18C,"7T - 6,8,9B",5B,6B,6T,Black Knight,Squash
SPECIAL EDITION (7088),28 - 35,32' - 8'S,14M X 15C,7T - 7B,5B,7B,5T,Black Knight,Squash
STRATOS,25 - 29,36' - 10'S,14M X 19C,"7T - 5,7,9,10B",4B,5B,5T,Black Knight,Squash
STROKE LITE (BK 8360),25 - 29,36' - 10'S,14M X 19C,"7T - 5,7,9,10B",3B,5B,5T,Black Knight,Squash
SUPER LITE Ti (8110),25 - 29,31' - 9'S,14M X 18C,"7T - 5,7,9,10B",8B,5B,5T,Black Knight,Squash
WHISPER 135 (2110),25 - 29,36' - 10'S,14M X 19C,"7T - 5,7,9,10B",3B,5B,5T,Black Knight,Squash
WHISPER 145 (2105),25 - 29,36' - 10'S,14M X 19C,"7T - 5,7,9,10B",3B,5B,5T,Black Knight,Squash
AEROGEAR 1000 FX,16 - 18,34' - 9'S,22M X 23C,11B,7B,8B,6T,Carlton,Badminton
AEROGEAR 18,16 - 18,18'M - 18'C,22M X 23C,11B,7B,7T,6T - 6B,Carlton,Badminton
AEROGEAR 180,16 - 18,34' - 9'S,22M X 23C,11B,6B,9B,8T,Carlton,Badminton
AEROGEAR 380,16 - 18,34' - 9'S,22M X 23C,11B,7B,9B,6T,Carlton,Badminton
